archive_group,source_sha256,source_class
CALIBER-base-held,4a3029b3e959525a57c03a31d840b994b2c600a0eb7478fe38dbc354d5aefe63,repository_archive
CALIBER-base-held,5862c095ce5ec19197e7b849a3757d0b208773b992ca9a31ed353f4e254f0d9e,repository_archive
CALIBER-base-held,9cb3f2281f3e7e74c29113e4fd7a566a935448775707616a35469ace6cb4cfff,repository_archive
CALIBER-base-held,c645fe513dcd2f5cd07f7d7abfe4de816e562c9a6e71c16f4da365b37998a878,repository_archive
CALIBER-base-held,c88b6781c3dbb4b2536ead81a3135c780c0486a51a9858fdab41cd56225f5cda,repository_archive
CALIBER-base-held,e5de4f7d696ff0bda25305c0bf38dc531a62d40231e567b1331d1de8bf228162,repository_archive
CALIBER-base-lpo,2a40cfb35d7922f3c7fa2d7cee3160edb05c9b907643fa8f265e2996a609db6a,repository_archive
CALIBER-base-lpo,59cc9fefaa9a6b12fcc522820e3fc21fa1136c6415b11972ef7a4e01edc73895,repository_archive
CALIBER-base-lpo,6079cab788fc8d3984dddfdb8663c364fcfe7e56de8de00fd033f0a13c214ae8,repository_archive
CALIBER-base-lpo,7d24b72812c15f89a6aba5ffb05483997e9245e8d31ceaa8ccd6ee24d9384880,repository_archive
CALIBER-base-lpo,a6f25242b36b9dc4e3e7dc052197b229906eb249f94e174df3d116844eceaac4,repository_archive
CALIBER-base-lpo,b91d42c0cf59b63c682fd8b8c5d0deb911ff36314319339f01ee3ab956c8c939,repository_archive
CALIBER-base-lpo,bf0aa3a09fca75900c0091643be0ca8ea6c0917844dc78323a03fbd1a717d35e,repository_archive
CALIBER-base-lpo,dbfe689fd00e80d2e48001e3fef1475c566fb5eb714cf45173689786149e2a64,repository_archive
CALIBER-base-lpo,fd38ac549eb1af34059159382b17c7bdd4c05771117490b097b65adf3edc58eb,repository_archive
CPTransformer-corrected,35e2ed8353d9f4dd3094aa503aa158e92c832785dca35d01731b40d05da94988,prearchive_local_audit
CPTransformer-corrected,38c401efe3c0d3324e259fc972f15fd3b8902d4010ace13ef54095e8eab4579c,prearchive_local_audit
CPTransformer-corrected,4f671d0f10ef07480a244c1da0d3c67cb3ea495cb5ed9766f64328bc42f3354c,prearchive_local_audit
CPTransformer-corrected,70aebcbc3476a422b418c796acc2368e08c85b471daca53e8453a4b83633b87f,prearchive_local_audit
CPTransformer-corrected,9d4356e9929824aab35f12dd827ed9bd8882280297391dd00d8f4e665cbc3426,prearchive_local_audit
CPTransformer-corrected,9dec5ffc9d231558427c110654b171a70ef7d985e7baefa25bfe7c5ad0ec621c,prearchive_local_audit
CPTransformer-corrected,a50d3a09dfb69255a97abcfa058b8a159fed6f068e6133a888d23e1e2e4c734b,prearchive_local_audit
CPTransformer-corrected,c1e0d09de089a884009f8232f6e33f11e72500bdc179096b021c736859f1eeef,prearchive_local_audit
CPTransformer-corrected,efdebb5a5948d5fa3c4d4d24ef5fadfdb4a864d762e301031aed56d64e9eef14,prearchive_local_audit
DLinear,107e4cf97ce70098918a941ba5bc855eed81f7c935472c8371ec2a12de6f770c,repository_archive
DLinear,2555ae0452ecfa31595e98b9cd995324a1cb9f073808d116365f5429daf345f1,repository_archive
DLinear,281df8500b8024d3569a052dc5d16fe69c364ad8fd05292cc41e7c09b4d278b1,repository_archive
DLinear,642a18e8da62b3bdd2a77cb18c479a8820b350fc36a2f6048f56afb3902c3f4d,repository_archive
DLinear,752b43b62257098b4018fd87b5b6ded6b3cf5536455a66e390604470992e1dd2,repository_archive
DLinear,7753b1f6ad722a557ba5d2bf09e6cf8e8bbb073c727e3cd214efd8977666062a,repository_archive
DLinear,8a356fba32f4e7e2eb6b9581cab1a21ece64da61c10f564d06948a1c0863bef5,repository_archive
DLinear,8a8decc62d112c4f399acea0687ffb6e277b99ce962ada088807e252f402e0a1,repository_archive
DLinear,a282c17be52155abbb807bc2f72b6d34ec98f85328d99f2bc7346530a971fede,repository_archive
DLinear,a990026cd0640d8cedee1caed80dcfec5fc8acc430c54eeb1e68b8f3ecbdd0ec,repository_archive
DLinear,b116517b401f0fc3249a53eadddb513470ceb3ae1e2961025363de04b1cdfb73,repository_archive
DLinear,c84f117cec3f393ac6713fb6d1b41e8672f3311d93794baa40553a4a33bc1a91,repository_archive
DLinear,cbcf8051d2a7f049575eb7357fc2b475b38c3417cacf39412636dd7360c0030b,repository_archive
DLinear,da70a0e3acbf0778682388fbba129c8fe71785c73c2215567bf7fd7c27f566e6,repository_archive
DLinear,fcc3123207dc94757aa60a44bbee95a503eac124cdfc4877747aa2726c211d0d,repository_archive
LSTM,00f65502c9cfade09098c2f115ee4b384816257fe35984e10cfc288e1c99f598,repository_archive
LSTM,03620e08e33026c85cb1769208d1a1d2766b3230d4ff2fabccb419bf0447f87f,repository_archive
LSTM,05ecd15abcb388257859a7865379500af3ea057a9075af399f632be34c2a5fbf,repository_archive
LSTM,1293e7c6e3485db2c64fd1b83a957be68f940aa89f3231f7ae5411dd06c23e4d,repository_archive
LSTM,207bf26cf7b2c7c88614bcfa6e4debbbe685e8ba0ccc0dd4e002ded4e6aa5996,repository_archive
LSTM,2df17941a41067383c2d19a7886093f8101566c3f880d35a758e17f7860890d0,repository_archive
LSTM,3f5b8eba495e6f4c649d03fdc645e5f36f6b519fe069013531ad28339b8fbfdd,repository_archive
LSTM,6f4ed0c2ace564bb030bf90dda38db1413e6e3c03a9d23d5b42c3367b52a397d,repository_archive
LSTM,70a06fa3967a60f02e378cddc91c500978615ec49c898db0c02160ea9d1a0aca,repository_archive
LSTM,717e8d6690a11f45e64432e810346c449f0200384c33572cdd94e584115f5e00,repository_archive
LSTM,87a1af40b1f0b5fec6139a0b47b329b3a6f84407c0875f07465f55df1120f484,repository_archive
LSTM,90b5e36b798582fe695efd3911434bac63483b093a7bec461918b926a316fd77,repository_archive
LSTM,94d548a5fe7bd6e689d87eda73ec7a92ce36ecee8ba5561815451aae077d468d,repository_archive
LSTM,9e73dc22a9732f52c83a07fc03c2ee0fe45c2c58f0ccda9d8103a9ba0d0f16ee,repository_archive
LSTM,aa4b82e2f17ea8c42bbb9e019f88feec4bdbd2519c5ac741e408fcd586b4c6b9,repository_archive
PatchTST-corrected,3690c6ce04dd6a1e9bc5410940d8725650d36e7b271cb0520de8b3b5bf0c0457,prearchive_local_audit
PatchTST-corrected,4104059c7aeee46e856f4a62bf96fe8e1bc0fa99b5b2abd992ca066a907b0328,prearchive_local_audit
PatchTST-corrected,440187b97ac93b341c79b5b39242c51e82063549a0fe2e3324aa123b973958f3,prearchive_local_audit
PatchTST-corrected,89e0a2af67a73dd874ace409cca7479e0db21482b2e433e900308bfc3bf49ea9,prearchive_local_audit
PatchTST-corrected,ac674c1965db645a3a7d2a2d0584e0853dfd46a81d278f861e1fed1111f9e9ce,prearchive_local_audit
PatchTST-corrected,c4df54cb1719ebcd8c347119913f344399c561029cca2b774e87a50dafa31947,prearchive_local_audit
PatchTST-corrected,c9529aabe9f1be1588d11bcd7ec83b5f2f0c805e76e98530f9bda0a29e5d8c46,prearchive_local_audit
PatchTST-corrected,ec06eed33eeea92ed65b603686e00fbbb36be3100d1a6b4e4272a97556b75ccf,prearchive_local_audit
PatchTST-corrected,f25eafef8bf1d73efcb0c055c903aa3b3bf9a546b08146a01ab44f772f321315,prearchive_local_audit
PatchTST-held,0de22620c32fee6e016fb631c2f6941f071afe2c0af3d6106790429c779129c0,repository_archive
PatchTST-held,4b55d986fe4c9b3e32be3f8236449ffc9d1d4cab16787b19ec0deee7ece98cb5,repository_archive
PatchTST-held,801803188f45e708d59358085d405f15061f5e64aad2fe98b0780d0609407978,repository_archive
PatchTST-held,9691641da209e4197d2d878b632343fe9bc39d8b597eb97f6c7bdc0cff547995,repository_archive
PatchTST-held,9908a647fcd41163c5696f637b6db2d55b6a4ec9cf71123775464e5759f8b670,repository_archive
PatchTST-held,a625517b8064f4e78abee4110ef602c3a3289278e39ed5234a9d40ce16e5fb37,repository_archive
iTransformer,1a2c5bbaba256ecf64a6946301294204cace408e9e2bd0a64f0ab472b1097ff8,repository_archive
iTransformer,39829c652a2d52f1bbc42a000a69c7e9a240a43ad471bc59df49e9af56890c76,repository_archive
iTransformer,3b44dfcf8633478517f469c513835e036cfc20e709cfeea9656781a4f9f9addc,repository_archive
iTransformer,4a3d8fe31a2515f93c0149b47e4fd573726f37b82c134a100fd5fcdf52ccf097,repository_archive
iTransformer,4de2aaf1d8256ca99f80f233b85b5af52f5c24e8d6e87f6bc834af7ac33b2144,repository_archive
iTransformer,5a86c895fd6dcf324b5497ac77acc2cc958d17125367ac2adf25ead4a1929a88,repository_archive
iTransformer,5d12c200a7db2de7814fafa53f851778838428c2cd6946bb4820fb32510a0b6e,repository_archive
iTransformer,8a90dbe0fb34b3475602ea37276254308bf9d692c365905b01370a929c34d84f,repository_archive
iTransformer,910e87bd486eb9114b16378ec186333b228a25cb6507f4cf4ccad908b9892c02,repository_archive
iTransformer,a0219e60198c439a56c8586f1c007976ab5bc669cbbe2da1b4ecc39e0ed38106,repository_archive
iTransformer,a11d64ff098e3aacc3e9de99eaa923871739f54e9bca856d3fad2cc27427aa44,repository_archive
iTransformer,a248c0d55654c49cb1ffef6fe601a9e6e020baa8793a7b56dc2df6f20b3cdf6f,repository_archive
iTransformer,e7f3a2616fd6d9b268e43ab30e402b75d283fd4ba548954616d89b37e0b4d02c,repository_archive
iTransformer,eb2b5b9197c23d908b4855ecbc8834994e2e82961eb40b010864788b9b8dc6bb,repository_archive
iTransformer,fae291e119671355de25c2c825335d0b711d4119e59a1bbde0528c25330ad31b,repository_archive
vanilla Transformer,0121f79fd598c883ad61d34fc3f6d17ef53941b452f559fe964e1adb1777ff31,repository_archive
vanilla Transformer,0c62fc8d60cf29900e954d7d95620d54a77117fbf7f23edbdb01e682dfaf96f2,repository_archive
vanilla Transformer,0d945fdf0c1f10cd8f3c99976c732611116e4897a68d0821b69938f7881ade59,repository_archive
vanilla Transformer,0dcac51826484aa5388d6337a06ad0ed04eac42b4188e7da0042e7c86ed6071c,repository_archive
vanilla Transformer,2b25b2d40427e4d22745fe3892e2e7a3ce4a6cd812d99b29ffb21b6797a5a28e,repository_archive
vanilla Transformer,48f5559eb616a505e824436ff44f24d2ca331d7cbfeee7bef07d5b0745302951,repository_archive
vanilla Transformer,4ad1db740d4d21e38fe12ecf3c9f5d7fccbcae48b1145a22d56565a2ddf1faf8,repository_archive
vanilla Transformer,63f85ec21411daeb46769a6037245e898c9b7fe5b058565702ac81417089398e,repository_archive
vanilla Transformer,89db6fd8ee228ba425322706c555acb502fa8522e30fc12849b3508161633058,repository_archive
vanilla Transformer,a0933723445371971a970dece15d66bdbf3d9ce15a15c2a7bf11cf9c6feef2dc,repository_archive
vanilla Transformer,bd94f3ba8a431bf57880d310351dad64c61cebb3a7f3a13408fcf63a658fe5ce,repository_archive
vanilla Transformer,cda8ee6ddc1946673199115f6f9c79438432d0a3a465d116345a1a74d11bbc19,repository_archive
vanilla Transformer,dc235ad72ccfa14fa19e176294d8d8d0d78175f31155764c2f73712948a23151,repository_archive
vanilla Transformer,e6314bef00b5e7358f652da121b8fda6fab3607dcb9f32751a93e106fbd66c06,repository_archive
vanilla Transformer,e6b48aa67da80118bf04c9b27aa9c9eeaf988efc0fff8aab2ce69f5c33ae090b,repository_archive
