dataset,comparison,n_seeds,n_cell_seed_pairs,mean_of_seed_means,std_of_seed_means,median_of_seed_medians,positive_seed_count,negative_seed_count,zero_seed_count,hierarchical_ci_low,hierarchical_ci_high,leave_seed2028_mean,mean_delta,median_delta,q10,q25,q50,q75,q90,min_delta,max_delta,worst_delta,improve_rate,worse_rate,equal_rate
aging_matrix,Ab-A0,4,20,-0.0011536382766771922,0.0008663799106866067,-0.0011243208911290614,0,4,0,-0.0019919217101163128,-0.0004827012643337059,,-0.0011536382766771922,-0.0009037178897514952,-0.002577837812963942,-0.001682385699345311,-0.0009037178897514952,-0.0004724186965955711,-0.0002563922013141006,-0.002876806083157855,2.9051097989991545e-05,2.9051097989991545e-05,0.95,0.05,0.0
aging_matrix,Abc-A0,4,20,-0.0011536382766771922,0.0008663799106866067,-0.0011243208911290614,0,4,0,-0.001988559051925043,-0.0004783156606765813,,-0.0011536382766771922,-0.0009037178897514952,-0.002577837812963942,-0.001682385699345311,-0.0009037178897514952,-0.0004724186965955711,-0.0002563922013141006,-0.002876806083157855,2.9051097989991545e-05,2.9051097989991545e-05,0.95,0.05,0.0
aging_matrix,Ac-A0,4,20,0.0,0.0,0.0,0,0,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aging_matrix,Ag-A0,4,20,-0.0011536382766771922,0.0008663799106866067,-0.0011243208911290614,0,4,0,-0.0019813358602707486,-0.0004890531392874565,,-0.0011536382766771922,-0.0009037178897514952,-0.002577837812963942,-0.001682385699345311,-0.0009037178897514952,-0.0004724186965955711,-0.0002563922013141006,-0.002876806083157855,2.9051097989991545e-05,2.9051097989991545e-05,0.95,0.05,0.0
aging_matrix,Ag-Abc,4,20,0.0,0.0,0.0,0,0,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dynamic_cycling,Ab-A0,4,76,-2.4356515085780874e-05,5.246858915600212e-05,-4.182049954227769e-05,1,2,1,-0.0001584785889608419,0.00013393477291621746,,-2.4356515085780877e-05,0.0,-0.0006178032280915093,-0.00015560499969836396,0.0,0.0001307364960835076,0.0006235429182517127,-0.0014984840674240225,0.0014726434137597969,0.0014726434137597969,0.4342105263157895,0.3157894736842105,0.25
dynamic_cycling,Abc-A0,4,76,-2.8726938448366376e-05,0.00022980063087800134,9.75940821302155e-05,2,2,0,-0.0002836694208220019,0.0002234505676029733,,-2.8726938448366362e-05,-1.451696935063189e-05,-0.0010513673372367788,-0.0002498336340024112,-1.451696935063189e-05,0.0002495508681964987,0.0008894381933627908,-0.001791302341293025,0.0018983805483785156,0.0018983805483785156,0.5131578947368421,0.4868421052631579,0.0
dynamic_cycling,Ac-A0,4,76,1.5518760892922358e-05,0.0002709644131917962,-2.5505845866276213e-06,1,2,1,-0.0002239671961833449,0.00028605127930887817,,1.5518760892922365e-05,0.0,-0.0002935189841303766,-9.743755188516032e-05,0.0,3.411924237382781e-05,0.0003358513040221029,-0.001637549778781644,0.0025559370045508834,0.0025559370045508834,0.42105263157894735,0.32894736842105265,0.25
dynamic_cycling,Ag-A0,4,76,-2.8726938448366376e-05,0.00022980063087800134,9.75940821302155e-05,2,2,0,-0.0002861132422978717,0.00022349347720172392,,-2.8726938448366362e-05,-1.451696935063189e-05,-0.0010513673372367788,-0.0002498336340024112,-1.451696935063189e-05,0.0002495508681964987,0.0008894381933627908,-0.001791302341293025,0.0018983805483785156,0.0018983805483785156,0.5131578947368421,0.4868421052631579,0.0
dynamic_cycling,Ag-Abc,4,76,0.0,0.0,0.0,0,0,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
isu_ilcc_lpo,Ab-A0,4,188,0.003082277714065789,0.0006679953568536547,0.0025215588118147093,4,0,0,0.0022035698924044752,0.004046061133015848,,0.0030822777140657896,0.0027756797314527487,-0.0031409486057112747,-0.00014401292590152104,0.0027756797314527487,0.007653351969288675,0.009767219517568105,-0.011428188769844569,0.012991433387322934,0.012991433387322934,0.2712765957446808,0.7287234042553191,0.0
isu_ilcc_lpo,Abc-A0,4,188,0.005863051920963668,0.0031035538935848266,0.01536620755047402,4,0,0,-0.007536487278122887,0.018985735408251884,,0.005863051920963666,0.016523431430077208,-0.14239463160605692,-0.04105090564117127,0.016523431430077208,0.07711058002734159,0.12124724425547938,-0.18876022636126083,0.15206686853443047,0.15206686853443047,0.3882978723404255,0.6117021276595744,0.0
isu_ilcc_lpo,Ac-A0,4,188,0.0063101364643360835,0.003284223532889538,0.009271852806917495,4,0,0,-0.007239501262101539,0.01950222936806571,,0.006310136464336085,0.014385626862298741,-0.13239740406633912,-0.04431351597488807,0.014385626862298741,0.07712976117563126,0.1250634447836559,-0.1810071370898955,0.15256478675470533,0.15256478675470533,0.39361702127659576,0.6063829787234043,0.0
isu_ilcc_lpo,Ag-A0,4,188,0.005863051920963668,0.0031035538935848266,0.01536620755047402,4,0,0,-0.007548842492139336,0.019035612384180056,,0.005863051920963666,0.016523431430077208,-0.14239463160605692,-0.04105090564117127,0.016523431430077208,0.07711058002734159,0.12124724425547938,-0.18876022636126083,0.15206686853443047,0.15206686853443047,0.3882978723404255,0.6117021276595744,0.0
isu_ilcc_lpo,Ag-Abc,4,188,0.0,0.0,0.0,0,0,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mit,Ab-A0,4,56,-0.0009942385346923149,0.00044027395801865527,-0.0016803710600486275,0,4,0,-0.0018741069759291077,-8.376262432813704e-05,,-0.0009942385346923149,-0.0019094916998200137,-0.004398970620329324,-0.003127376157481942,-0.0019094916998200137,0.0008327731263451897,0.0022050448977394294,-0.005892105990918087,0.00860071263891688,0.00860071263891688,0.625,0.375,0.0
mit,Abc-A0,4,56,-0.018308777917946082,0.000855229963143731,-0.019237733231279943,0,4,0,-0.021411751359620677,-0.015108294290275664,,-0.01830877791794608,-0.019790962701641556,-0.03120241874524865,-0.02857537197751826,-0.019790962701641556,-0.011471681523422369,-0.0056624096706251546,-0.03648022707932363,0.011880347959910748,0.011880347959910748,0.9285714285714286,0.07142857142857142,0.0
mit,Ac-A0,4,56,-0.0148517885864319,0.0005744082006486767,-0.013791010010779241,0,4,0,-0.017785685751239864,-0.011982645631552961,,-0.014851788586431899,-0.013643290167457536,-0.03133558977219649,-0.02291688821230942,-0.013643290167457536,-0.007592251322500888,-0.0030391460129299717,-0.03519459220369463,0.006896079688785659,0.006896079688785659,0.9107142857142857,0.08928571428571429,0.0
mit,Ag-A0,4,56,-0.018308777917946082,0.000855229963143731,-0.019237733231279943,0,4,0,-0.021449015077574858,-0.015047261554270216,,-0.01830877791794608,-0.019790962701641556,-0.03120241874524865,-0.02857537197751826,-0.019790962701641556,-0.011471681523422369,-0.0056624096706251546,-0.03648022707932363,0.011880347959910748,0.011880347959910748,0.9285714285714286,0.07142857142857142,0.0
mit,Ag-Abc,4,56,0.0,0.0,0.0,0,0,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xjtu_lpo,Ab-A0,4,92,0.0003777978965872712,0.00032855241359121533,0.00044456329628676447,3,0,1,9.302101765835872e-05,0.0006781410539757428,,0.0003777978965872712,0.00039169367504761354,0.0,0.0,0.00039169367504761354,0.0005632710629103321,0.0009933571418452595,-0.0001667656641232279,0.0012269478600679257,0.0012269478600679257,0.05434782608695652,0.6956521739130435,0.25
xjtu_lpo,Abc-A0,4,92,0.012830084217923985,0.020958548170868792,0.001450488789972216,3,1,0,0.000568469132995435,0.03392058555385416,0.0023873052079412867,0.012830084217923986,0.004412988564082204,-0.006531326093793163,-0.0022930619850921926,0.004412988564082204,0.027710449028821763,0.04327948074690455,-0.00941616273199651,0.06818965344783104,0.06818965344783104,0.3695652173913043,0.6304347826086957,0.0
xjtu_lpo,Ac-A0,4,92,0.012672846547514292,0.020875659757555388,0.0020676625315129774,3,1,0,0.0004007051993482905,0.03364593856331359,0.002273649108941336,0.01267284654751429,0.0035606581497064187,-0.006334333398011283,-0.0034298133228448952,0.0035606581497064187,0.028008756570032826,0.044206593249512365,-0.011789132745514998,0.06938483470742068,0.06938483470742068,0.3804347826086957,0.6195652173913043,0.0
xjtu_lpo,Ag-A0,4,92,0.0,0.0,0.0,0,0,4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
xjtu_lpo,Ag-Abc,4,92,-0.012830084217923985,0.020958548170868792,-0.001450488789972216,1,3,0,-0.0339208800204408,-0.0006012071947972122,,-0.012830084217923986,-0.004412988564082204,-0.04327948074690455,-0.027710449028821763,-0.004412988564082204,0.0022930619850921926,0.006531326093793164,-0.06818965344783104,0.00941616273199651,0.00941616273199651,0.6304347826086957,0.3695652173913043,0.0
